year,artists,name,energy,danceability,speechiness,tempo
1922,['Luis Carlos Molina Acevedo'],Belladone. Polka pour cor,0.18100000000000002,0.335,0.0277,136.281
1922,['Ignacio Corsini'],La Maleva - Remasterizado,0.0958,0.33899999999999997,0.053,86.279
1922,['Adolphe Bérard'],J'ai Vendu Mon Âme,0.152,0.5820000000000001,0.0914,95.779
1922,['Louis Lynel'],Nuits De Chine,0.28800000000000003,0.42,0.0701,139.575
1922,['Ignacio Corsini'],En la Huella del Querer - Remasterizado,0.17600000000000002,0.373,0.0703,106.595
1922,['Perchicot'],C'est La Mode Et Voila Tout,0.408,0.5920000000000001,0.271,81.126
1922,['Perchicot'],La Ronde De Nuit,0.31,0.55,0.168,125.829
1922,['Ignacio Corsini'],El Patotero Sentimental - Remasterizado,0.0283,0.48200000000000004,0.0732,77.642
1922,['Ignacio Corsini'],Tus Suspiros - Remasterizado,0.318,0.273,0.0694,74.542
1922,['Ignacio Corsini'],Ojos Funestos - Remasterizado,0.244,0.373,0.0538,115.51
1922,['Ignacio Corsini'],El Huerfano - Remasterizado,0.11900000000000001,0.462,0.0793,122.895
1922,['Maurice Chevalier'],Pas Pour Moi,0.375,0.532,0.298,80.37899999999998
1922,['Ignacio Corsini'],La Canción del Cabaret - Remasterizado,0.17800000000000002,0.45799999999999996,0.0614,69.128
1922,['Dréan'],Éléonore,0.262,0.52,0.132,69.125
1922,['Mistinguett'],En Douce,0.18,0.4270000000000001,0.067,78.459
1922,['Victor Boucher'],Machinalement,0.193,0.457,0.0655,177.097
1922,['Jim Chapman'],Chicago (That Toddlin' Town),0.439,0.491,0.105,180.653
1922,['Ignacio Corsini'],Mi Guitarra - Remasterizado,0.124,0.23600000000000002,0.0515,71.524
1922,['Ignacio Corsini'],Practicante - Remasterizado,0.168,0.43,0.0622,58.863
1922,['Ignacio Corsini'],Toda Alma - Remasterizado,0.268,0.545,0.191,126.61399999999999
1922,['Adolphe Bérard'],L'amour Au Clair De Lune,0.32799999999999996,0.467,0.0354,87.132
1922,['Ignacio Corsini'],No Me Olvides - Remasterizado,0.0558,0.484,0.0575,99.555
1922,['Ignacio Corsini'],Como una Flor - Remasterizado,0.39399999999999996,0.218,0.0388,82.287
1922,['Uli'],Sketch,0.00399,0.634,0.0377,79.895
1922,['Ignacio Corsini'],Sin Amor - Remasterizado,0.424,0.5429999999999999,0.26899999999999996,68.567
1922,['Ignacio Corsini'],Flor Marchita - Remasterizado,0.0954,0.36,0.064,76.3
1922,['Ignacio Corsini'],Entrerriana - Remasterizado,0.2,0.431,0.0322,108.65
1922,['Ignacio Corsini'],Pobre Cotorro - Remasterizado,0.053,0.564,0.127,140.216
1922,['Adolphe Bérard'],Mirage,0.218,0.4970000000000001,0.0345,88.412
1922,['Ignacio Corsini'],Un Placer - Remasterizado,0.142,0.527,0.0612,126.70200000000001
1922,['Georgius'],Le Tango Neurasthénique,0.433,0.564,0.35600000000000004,72.003
1922,['Ignacio Corsini'],Pobre Madrecita - Remasterizado,0.147,0.53,0.0663,69.45100000000001
1922,['Ignacio Corsini'],Primera Ilusión - Remasterizado,0.20199999999999999,0.38799999999999996,0.0517,181.105
1922,['Félix Mayol'],Elle Vendait Des P'tits Gateaux,0.301,0.716,0.105,129.153
1922,['Ignacio Corsini'],Cap Polonio - Remasterizado,0.161,0.541,0.094,143.105
1922,['Fortugé'],Mes Parents Sont Venus Me Chercher,0.204,0.5539999999999999,0.0598,97.337
1922,['Ignacio Corsini'],De Mil Amores - Remasterizado,0.177,0.442,0.0571,128.395
1922,['Ignacio Corsini'],Cachonguita - Remasterizado,0.0522,0.45,0.0583,72.40100000000002
1922,['Uli'],L'enfer,0.325,0.657,0.254,81.944
1922,['Ignacio Corsini'],Metejón - Remasterizado,0.0763,0.493,0.0612,75.313
1922,['Ignacio Corsini'],Remembranza - Remasterizado,0.0468,0.53,0.0853,129.602
1922,['Uli'],Graphite,0.684,0.644,0.19899999999999998,100.031
1922,['Georgius'],Méfiez Vous D'anatole,0.35,0.625,0.312,81.567
1922,['Ignacio Corsini'],Ensueño de Oro - Remasterizado,0.155,0.43,0.11599999999999999,96.58
1922,['Ignacio Corsini'],El Huerfano - Remasterizado,0.0749,0.366,0.0806,90.969
1922,['Mistinguett'],J'en Ai Marre,0.20600000000000002,0.511,0.0592,70.443
1922,['Ignacio Corsini'],Nostalgia - Remasterizado,0.158,0.496,0.0423,79.87100000000002
1922,['Ignacio Corsini'],Monigote - Remasterizado,0.561,0.42200000000000004,0.461,121.542
1922,['Ignacio Corsini'],El Beso de la Muerte - Remasterizado,0.0997,0.493,0.0607,127.023
1922,['Jeanne Saint Bonnet'],Le Petit Amant,0.28300000000000003,0.6559999999999999,0.191,126.085
1922,['Ignacio Corsini'],Recuerdo Criollo - Remasterizado,0.102,0.313,0.0436,67.575
1922,['Ignacio Corsini'],Despedida - Remasterizado,0.308,0.425,0.0534,64.738
1922,['Uli'],Car Loans,0.574,0.6509999999999999,0.10400000000000001,99.87799999999999
1922,['Ignacio Corsini'],La Muchacha - Remasterizado,0.106,0.32299999999999995,0.0483,71.432
1922,['Ignacio Corsini'],Pobre Gaucho - Remasterizado,0.131,0.47600000000000003,0.0523,69.40899999999999
1922,['Ignacio Corsini'],El Poder de Tus Ojos - Remasterizado,0.244,0.35700000000000004,0.0478,72.51
1922,['Ignacio Corsini'],Pobre China - Remasterizado,0.17800000000000002,0.564,0.0432,60.422
1922,['Fortugé'],Antoine,0.153,0.537,0.0898,129.134
1922,['Georgius'],Sur La Pointe Des Pieds,0.34299999999999997,0.528,0.315,83.2
1923,"['Louis Armstrong', 'Earl Hines']",Weather Bird,0.262,0.831,0.0942,104.60600000000001
1923,['Bessie Smith'],Nobody Knows You When You're Down and Out,0.0423,0.614,0.0535,89.822
1923,['Bessie Smith'],'Tain't Nobody's Bizness If I Do,0.0443,0.537,0.0343,80.468
1923,['Louis Armstrong'],Ain't Misbehavin',0.254,0.665,0.10800000000000001,125.734
1923,['Bessie Smith'],Send Me to the 'Lectric Chair,0.0905,0.7709999999999999,0.0613,87.571
1923,"['Bessie Smith', 'Louis Armstrong']",St. Louis Blues (with Louis Armstrong),0.145,0.408,0.0501,68.8
1923,['Bessie Smith'],Need a Little Sugar in My Bowl,0.027000000000000003,0.693,0.0562,75.749
1923,['Bessie Smith'],Baby Won't You Please Come Home,0.0534,0.6829999999999999,0.0356,79.488
1923,['Bessie Smith'],"Empty Bed Blues, Pt. 1",0.062,0.7090000000000001,0.048,85.854
1923,['Bessie Smith'],Me and My Gin,0.0735,0.71,0.0488,90.917
1923,['Bessie Smith'],Young Woman's Blues,0.23199999999999998,0.525,0.0335,76.14
1923,"[""King Oliver's Creole Jazz Band""]",Snake Rag,0.361,0.708,0.0441,105.695
1923,"['Bessie Smith', 'Louis Armstrong']",St. Louis Blues,0.114,0.355,0.0588,69.902
1923,['Bessie Smith'],Gimme a Pigfoot and a Bottle of Beer,0.198,0.691,0.0784,103.90100000000001
1923,['Bessie Smith'],Careless Love,0.175,0.5870000000000001,0.0384,98.523
1923,['Bessie Smith'],Down Hearted Blues,0.0583,0.491,0.0431,166.27
1923,['Bessie Smith'],Backwater Blues,0.146,0.516,0.0454,71.14399999999998
1923,['Louis Armstrong'],I've Got The World On A String,0.18100000000000002,0.544,0.0387,129.803
1923,"['Bessie Smith', 'Louis Armstrong']",Sobbin' Hearted Blues,0.0795,0.415,0.0908,74.683
1923,['Bessie Smith'],Long Old Road,0.0792,0.557,0.0541,79.768
1923,['Louis Armstrong'],Lazy River,0.26899999999999996,0.5710000000000001,0.067,101.845
1923,['Bessie Smith'],Black Mountain Blues,0.063,0.6409999999999999,0.0727,65.673
1923,"[""King Oliver's Creole Jazz Band""]",Chimes Blues,0.18899999999999997,0.546,0.0581,80.318
1923,['Bessie Smith'],You've Been a Good Old Wagon,0.132,0.602,0.0532,77.087
1923,['Bessie Smith'],There'll Be a Hot Time in the Old Town Tonight,0.214,0.72,0.07,82.921
1923,['Louis Armstrong & His Hot Five'],Muggles,0.113,0.586,0.0607,85.235
1923,['Bessie Smith'],Work House Blues,0.0498,0.41700000000000004,0.0344,78.663
1923,['Bessie Smith'],Preachin' the Blues,0.185,0.703,0.0441,104.916
1923,['Louis Armstrong & His Hot Five'],West End Blues,0.27399999999999997,0.621,0.0514,84.788
1923,"[""King Oliver's Creole Jazz Band""]",Tears,0.35700000000000004,0.359,0.0511,205.053
1923,"[""Clarence Williams' Blue Five""]",Everybody Loves My Baby,0.193,0.514,0.23800000000000002,180.674
1923,['Bessie Smith'],"Empty Bed Blues, Pt. 2",0.0466,0.8,0.0578,84.544
1923,['Louis Armstrong & His Hot Seven'],A Monday Date,0.396,0.745,0.48100000000000004,117.75299999999999
1923,['Louis Armstrong & His Sebastian New Cotton Club Orchestra'],I'm A Ding Dong Daddy,0.45399999999999996,0.759,0.0822,109.79
1923,['Jimmie Rodgers'],Blue Yodel No. 9,0.251,0.76,0.0602,108.456
1923,['Louis Armstrong'],Song of the Islands,0.13,0.603,0.0426,143.497
1923,['Fletcher Henderson & His Orchestra'],Naughty Man,0.268,0.59,0.0725,189.266
1923,"[""Clarence Williams' Blue Five""]",Cake Walking Babies (From Home),0.435,0.634,0.0474,121.516
1923,['Louis Armstrong & His Hot Seven'],Hotter Than That,0.321,0.792,0.131,108.60700000000001
1923,['Louis Armstrong & His Hot Seven'],Potato Head Blues,0.29,0.5870000000000001,0.177,183.352
1923,['Louis Armstrong & His Hot Five'],Skid-Dat-De-Dat,0.0841,0.6579999999999999,0.0496,121.494
1923,"[""Clarence Williams' Blue Five""]",Pickin' On Your Baby,0.153,0.52,0.044000000000000004,102.93700000000001
1923,['Louis Armstrong & His Hot Five'],Beau Koo Jack,0.418,0.733,0.0765,121.289
1923,['Maggie Jones'],Anybody Here Want to Try My Cabbage?,0.201,0.584,0.0575,82.54899999999998
1923,['Louis Armstrong & His Savoy Ballroom Five'],No One Else But You,0.311,0.496,0.124,191.035
1923,['Margaret Johnson'],Changeable Daddy Of Mine,0.214,0.583,0.0423,101.916
1923,"[""Clarence Williams' Blue Five""]",Texas Moaner Blues - 78rpm Version,0.272,0.519,0.0627,80.523
1923,['Louis Armstrong & His Sebastian New Cotton Club Orchestra'],Sweethearts On Parade,0.261,0.606,0.0679,128.025
1923,['Louis Armstrong & His Savoy Ballroom Five'],I Can't Give You Anything But Love,0.11800000000000001,0.66,0.0648,108.305
1923,['Louis Armstrong & His Hot Five'],Heebie Jeebies,0.23199999999999998,0.63,0.0569,164.02700000000004
1923,['Louis Armstrong & His Hot Seven'],Gully Low Blues,0.14400000000000002,0.679,0.0975,108.83200000000001
1923,['Louis Armstrong & His Hot Five'],Basin Street Blues - rec. 1928,0.353,0.561,0.0538,107.711
1923,['Louis Armstrong'],When Your Lover Has Gone,0.233,0.45399999999999996,0.0433,119.956
1923,['Fletcher Henderson & His Orchestra'],Sugar Foot Stomp,0.207,0.78,0.0771,100.376
1923,['Louis Armstrong'],Mahogany Hall Stomp,0.27399999999999997,0.642,0.10099999999999999,184.923
1923,['Louis Armstrong & His Sebastian New Cotton Club Orchestra'],I'm Confessin' (That I Love You),0.14,0.479,0.0725,81.67399999999998
1923,['Louis Armstrong'],I Can't Believe That You're In Love With Me,0.204,0.579,0.0804,154.333
1923,['Maggie Jones'],Good Time Flat Blues,0.196,0.551,0.0594,76.598
1923,['Fletcher Henderson & His Orchestra'],T.N.T.,0.408,0.809,0.0846,113.494
1923,['Louis Armstrong'],Knockin' A Jug - 78 rpm Version,0.395,0.7879999999999999,0.301,113.336
1923,['Louis Armstrong & His Hot Five'],Gut Bucket Blues,0.21600000000000005,0.602,0.0676,146.183
1923,['Louis Armstrong'],Struttin'With Some Barbecue,0.212,0.726,0.126,97.21
1923,['Louis Armstrong'],When It's Sleepy Time Down South,0.17800000000000002,0.527,0.0793,105.09299999999999
1923,"['Bertha ""Chippie"" Hill', 'Louis Armstrong']",Pleadin' for the Blues,0.134,0.6609999999999999,0.0763,71.497
1923,['Louis Armstrong & His Hot Five'],Tight Like This,0.254,0.726,0.124,110.86
1923,['Seger Ellis'],To Be In Love,0.203,0.564,0.0743,160.767
1923,"[""Clarence Williams' Blue Five""]",You Can't Shush Katie,0.231,0.713,0.067,108.48200000000001
1923,['Louis Armstrong'],That Rhythm Man,0.38799999999999996,0.7190000000000001,0.154,118.272
1923,['Louis Armstrong & His Sebastian New Cotton Club Orchestra'],Memories Of You,0.13,0.615,0.0466,108.87299999999999
1923,['Louis Armstrong'],Blue Again,0.31,0.598,0.0714,110.346
1923,['Louis Armstrong'],Chicago Breakdown,0.325,0.604,0.213,168.50599999999997
1923,['Louis Armstrong'],(What Did I Do to Be So) Black and Blue,0.188,0.6809999999999999,0.0482,103.095
1923,['Louis Armstrong & His Hot Seven'],Weary Blues,0.24600000000000002,0.573,0.22399999999999998,205.419
1923,['Louis Armstrong'],On The Sunny Side Of The Street - Part 1,0.228,0.585,0.0475,98.685
1923,['Louis Armstrong & His Hot Five'],Two Deuces,0.294,0.713,0.073,85.29899999999998
1923,['Louis Armstrong & His Hot Five'],King Of The Zulas,0.168,0.536,0.114,169.06099999999995
1923,['Louis Armstrong'],Between The Devil And The Deep Blue Sea,0.203,0.625,0.077,133.909
1923,['Louis Armstrong'],On The Sunny Side Of The Street - Part 2,0.266,0.5589999999999999,0.0512,101.279
1923,['Louis Armstrong'],Stardust,0.209,0.7170000000000001,0.0622,127.40100000000001
1923,"[""Erskine Tate's Vendome Orchestra""]","Stomp Off, Let's Go",0.47700000000000004,0.6920000000000001,0.363,118.604
1923,['Louis Armstrong & His Hot Five'],Skip The Gutter,0.131,0.653,0.0628,124.1
1923,['Louis Armstrong'],"Chinatown, My Chinatown",0.525,0.562,0.142,158.373
1923,['Louis Armstrong'],My Sweet,0.284,0.741,0.0505,105.84
1923,"[""Carroll Dickerson's Savoyagers""]",Symphonic Raps,0.368,0.78,0.0958,115.40100000000001
1923,['Nolan Welsh'],The Bridwell Blues,0.136,0.657,0.33899999999999997,72.492
1923,['The Southern Serenaders'],Alone At Last,0.184,0.66,0.0322,107.32799999999999
1923,['Louis Armstrong'],St. Louis Blues - Alternate Take B,0.47,0.68,0.11,181.03799999999998
1923,"[""Clarence Williams' Blue Five""]",Papa De Da Da,0.132,0.6729999999999999,0.0771,105.5
1923,['Lillie Delk Christian'],I Must Have That Man,0.221,0.851,0.0932,116.444
1923,['Louis Armstrong'],When You're Smiling - Non Vocal Take,0.193,0.5,0.0347,147.29
1923,['Louis Armstrong & His Hot Five'],Basin Street Blues - rec. 1928,0.27899999999999997,0.604,0.0446,123.271
1923,['Louis Armstrong & His Hot Five'],Savoy Blues,0.151,0.8109999999999999,0.0823,127.944
1923,['Louis Armstrong'],Song Of The Vipers,0.255,0.5529999999999999,0.0874,181.769
1923,['Hykoski Studios'],Long Live Love Life,0.121,0.779,0.0547,100.00299999999999
1923,['Louis Armstrong'],Stardust,0.298,0.614,0.0541,122.319
1923,['Louis Armstrong & His Hot Seven'],Put 'Em Down Blues,0.278,0.6659999999999999,0.0926,101.729
1923,"['Bertha ""Chippie"" Hill']",Low Land Blues,0.115,0.4920000000000001,0.0898,172.97099999999998
1923,['Louis Armstrong & His Hot Five'],Cornet Chop Suey,0.19,0.5579999999999999,0.0869,170.06599999999997
1923,['Lillie Delk Christian'],Too Busy,0.28600000000000003,0.603,0.0806,176.56599999999997
1923,"['Hociel Thomas', 'Louis Armstrong']",Listen To Ma,0.128,0.536,0.0435,91.93700000000001
1924,"['Paul Whiteman & His Orchestra', 'Bix Beiderbecke']",Mississippi Mud (feat. Bix Beiderbecke),0.395,0.6779999999999999,0.133,184.446
