Rank,Track Name,Artist,loudness,speechiness
368,Last Hurrah,Bebe Rexha,-4.585,0.0317
369,Good Thing (with Kehlani),Zedd,-3.857,0.0378
370,Qué Pena,Maluma,-6.425,0.364
371,No Stylist,French Montana,-4.589,0.127
372,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,-4.568,0.155
373,Earth,Lil Dicky,-4.649,0.05
374,Roller,Apache 207,-6.471,0.144
375,Fuck Love (feat. Trippie Redd),XXXTENTACION,-9.74,0.0412
376,Hope,The Chainsmokers,-5.982,0.0958
377,BEBE,6ix9ine,-3.559,0.109
378,Just You and I,Tom Walker,-5.416,0.301
379,Mean It,Lauv,-8.543,0.0872
380,Soltera (Remix),Lunay,-4.788,0.0454
381,I,Lil Skies,-7.28,0.085
382,Be Alright,Dean Lewis,-7.595,0.034
383,Te Quemaste,Manuel Turizo,-2.486,0.131
384,MALA,6ix9ine,-3.627,0.0424
385,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,-8.206,0.216
386,Falling Down - Bonus Track,Lil Peep,-6.442,0.0286
387,Adore You,Harry Styles,-3.675,0.0483
388,KIKA,6ix9ine,-3.368,0.245
389,The Man,Taylor Swift,-5.191,0.054
390,Pop Out (feat. Lil Tjay),Polo G,-7.106,0.362
391,Post Malone (feat. RANI),Sam Feldt,-3.87,0.122
392,Electricity (with Dua Lipa),Silk City,-6.439,0.0473
393,Yellow Hearts,Ant Saunders,-8.943,0.0719
394,Soltera,Lunay,-4.325,0.0399
395,Imposible,Luis Fonsi,-4.078,0.0741
396,fake smile,Ariana Grande,-7.412,0.372
397,Ayy Macarena,Tyga,-5.568,0.226
398,Nightmare,Halsey,-5.075,0.0734
399,imagine,Ariana Grande,-4.993,0.039
400,Watermelon Sugar,Harry Styles,-4.209,0.0465
401,Clout (feat. Cardi B),Offset,-7.384,0.0997
402,Hola - Remix,Dalex,-5.98,0.311
403,wish you were gay,Billie Eilish,-10.198,0.241
404,Pure Water (with Migos),Mustard,-5.545,0.127
405,Nights Like This (feat. Ty Dolla $ign),Kehlani,-5.131,0.15
406,Te Soñé De Nuevo,Ozuna,-2.867,0.107
407,Look Alive (feat. Drake),BlocBoy JB,-7.495,0.27
408,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,-4.856,0.0486
409,My Oh My (feat. DaBaby),Camila Cabello,-6.024,0.0296
410,Somebody To Love - 2011 Mix,Queen,-7.024,0.0624
411,I Love It (& Lil Pump),Kanye West,-8.304,0.33
412,Behind Barz - Bonus,Drake,-4.684,0.172
413,Circles,Post Malone,-3.497,0.0395
414,Stuck In A Dream (feat. Gunna),Lil Mosey,-6.445,0.0816
415,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,-13.336,0.0595
416,Find U Again (feat. Camila Cabello),Mark Ronson,-7.162,0.0316
417,Happy Xmas (War Is Over) - Remastered,John Lennon,-11.076,0.0315
418,Holly Jolly Christmas,Michael Bublé,-8.308,0.0428
419,whoa (mind in awe),XXXTENTACION,-2.939,0.0441
420,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,-4.993,0.0393
421,Ya No Tiene Novio,Sebastian Yatra,-1.948,0.154
422,ilomilo,Billie Eilish,-15.044,0.0585
423,Feelings,Lauv,-6.758,0.0384
424,Don't Check On Me (feat. Justin Bieber & Ink),Chris Brown,-5.242,0.0333
425,Woah,Lil Baby,-5.554,0.245
426,Roller,Apache 207,-6.47,0.17
427,Walk Me Home,P!nk,-6.119,0.0445
428,Bola Rebola,Tropkillaz,-4.538,0.0593
429,Noticed,Lil Mosey,-7.622,0.0603
430,365,Zedd,-5.479,0.034
431,On A Roll,Ashley O,-6.354,0.0896
432,La Boca - Remix,Mau y Ricky,-3.812,0.0355
433,Die For Me (feat. Future & Halsey),Post Malone,-2.848,0.0441
434,Up All Night,Khalid,-7.536,0.0527
435,breathin,Ariana Grande,-5.413,0.0433
436,Asesina - Remix,Brytiago,-4.252,0.226
437,Nights Like This (feat. Ty Dolla $ign),Kehlani,-5.131,0.15
438,Watermelon Sugar,Harry Styles,-4.209,0.0465
439,Keanu Reeves,Logic,-6.457,0.235
440,Good As Hell,Lizzo,-3.187,0.0765
441,Remember The Name (feat. Eminem & 50 Cent),Ed Sheeran,-6.923,0.184
442,Culpables,KAROL G,-2.942,0.0683
443,YOSEMITE,Travis Scott,-6.571,0.0409
444,God is a woman,Ariana Grande,-5.934,0.0558
445,Pa Olvidarte (feat. Manuel Turizo) - Remix,ChocQuibTown,-5.411,0.169
446,Cruel Summer,Taylor Swift,-5.707,0.157
447,My Bad,Khalid,-9.127,0.0823
448,listen before i go,Billie Eilish,-23.023,0.045
449,Underneath the Tree,Kelly Clarkson,-5.438,0.0537
450,Candy,Doja Cat,-5.857,0.0444
451,R.I.P. (feat. Rita Ora & Anitta),Sofia Reyes,-3.713,0.0711
452,MONOPOLY (with Victoria Monét),Ariana Grande,-8.282,0.378
453,Lonely (with Jonas Brothers),Diplo,-5.121,0.0573
454,No Guidance (feat. Drake),Chris Brown,-6.756,0.151
455,Be Honest (feat. Burna Boy),Jorja Smith,-6.728,0.114
456,Cuando Te Besé,Becky G,-3.713,0.213
457,Rebota - Remix,Guaynaa,-2.279,0.204
458,Mad Love,Mabel,-2.999,0.172
459,Juice,Lizzo,-2.988,0.0963
460,ghostin,Ariana Grande,-8.294,0.0292
461,ROXANNE,Arizona Zervas,-5.616,0.148
462,Swing,Danny Ocean,-6.422,0.249
463,Happier,Ed Sheeran,-7.355,0.0288
464,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,-4.154,0.0473
465,Make It Right (feat. Lauv),BTS,-7.811,0.425
466,Fast,Juice WRLD,-5.937,0.0434
467,Right Back (feat. A Boogie Wit Da Hoodie),Khalid,-10.011,0.31
468,La Boca,Mau y Ricky,-1.8,0.113
469,VALENTINO,24kGoldn,-4.853,0.183
470,Bellacoso,Residente,-2.795,0.255
471,Driving Home for Christmas - 2019 Remaster,Chris Rea,-10.863,0.038
472,Swan Song,Dua Lipa,-6.54,0.216
473,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,Paul McCartney,-8.914,0.0319
474,Ric Flair Drip (& Metro Boomin),Offset,-8.28,0.206
475,No Idea,Don Toliver,-4.973,0.102
